[2026-06-03T14:43:37.413Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/highlight.js?v=21f2fff3 → 200 (89ms, 21660B)
[2026-06-03T14:43:37.413Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/icon.js?v=21f2fff3 → 200 (89ms, 5667B)
[2026-06-03T14:43:37.413Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/radio-checkbox.js?v=21f2fff3 → 200 (108ms, 16332B)
[2026-06-03T14:43:37.413Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/select.js?v=21f2fff3 → 200 (109ms, 18147B)
[2026-06-03T14:43:37.413Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/toggle.js?v=21f2fff3 → 200 (109ms, 19016B)
[2026-06-03T14:43:37.415Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/tooltip.js?v=21f2fff3 → 200 (108ms, 23080B)
[2026-06-03T14:43:37.415Z] GET http://localhost:4321/node_modules/.vite/deps/gsap_ScrollTrigger.js?v=21f2fff3 → 200 (126ms, 106350B)
[2026-06-03T14:43:37.429Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/a11y.js?v=21f2fff3 → 200 (110ms, 122184B)
[2026-06-03T14:43:37.429Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/perf.js?v=21f2fff3 → 200 (110ms, 23587B)
[2026-06-03T14:43:37.540Z] GET http://localhost:4321/node_modules/.vite/deps/astro___aria-query.js?v=21f2fff3 → 200 (14ms, 205280B)
[2026-06-03T14:43:37.540Z] GET http://localhost:4321/node_modules/.vite/deps/astro___axobject-query.js?v=21f2fff3 → 200 (14ms, 112534B)
[2026-06-03T14:43:37.838Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:37.840Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:37.841Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:43:40.732Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (15ms, 246262B)
[2026-06-03T14:43:40.750Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:40.750Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (16ms, 246262B)
[2026-06-03T14:43:42.386Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:42.388Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:42.389Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:42.995Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:43:42.998Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:42.999Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (4ms, 246262B)
[2026-06-03T14:43:43.373Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:43:43.376Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:43.377Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:43.765Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:43.766Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:43.767Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:51.570Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (26ms, 246262B)
[2026-06-03T14:43:51.608Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:51.608Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (10ms, 246262B)
[2026-06-03T14:43:52.505Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:52.506Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:52.508Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:53.189Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:43:53.192Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:53.194Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:53.503Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:53.504Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:53.506Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:58.024Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:43:58.028Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:58.029Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:59.011Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:59.013Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:59.014Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:43:59.666Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:59.667Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
